name,color,width,height,rabbet,pcs,ft,condition,img_url,category
B012-Y5,Sand,1  3/4 ,1  5/8 ,1,12,114,N/A,https://i.postimg.cc/K8bJWs6L/B012-Y5.jpg,Between 1 and 2 inches
B027-1057,Gold,1  3/8 ,1  3/8 ,1  1/16,15,142.5,N/A,https://i.postimg.cc/HWJZ8M0J/B027-1057.jpg,Between 1 and 2 inches
B027-1058,Silver,1  3/8 ,1  3/8 ,1  1/16,15,142.5,N/A,https://i.postimg.cc/JzQPC58F/B027-1058.jpg,Between 1 and 2 inches
B1006-BR109,Espresso,1  1/4 ,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/5t7g696q/B1006-BR109.jpg,Between 1 and 2 inches
B1006-S280,Silver,1  1/4 ,1  5/8 ,1  3/8 ,20,190,N/A,https://i.postimg.cc/6Q5zW45p/B1006-S280.jpg,Between 1 and 2 inches
B1103-BK,Black,1  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/3RkBpMGM/B1103-BK.jpg,Between 1 and 2 inches
B1103-BR109,Walnut,1  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
B1103-BR263,Bronze,1  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/D0sPjq5B/B1103-BR263.jpg,Between 1 and 2 inches
B1103-S295,Silver,1  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/0QhC0tGz/B1103-S295.jpg,Between 1 and 2 inches
B1105SC-BR109,Walnut,3,2  1/8 ,1  5/8 ,6,57,N/A,https://i.postimg.cc/BZ1pn0sH/B1105-SC-BR109.jpg,Greater than 3 inches
B1106SC-BR109,Walnut,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/ZKtc9MKg/B1106-SC-BR109.jpg,Between 2 and 3 inches
B1106SC-BR263,Bronze,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/8PRbLm7C/B1106-SC-BR263.jpg,Between 2 and 3 inches
B1106SC-S295,Silver,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/0y90nKS0/B1106-SC-S295.jpg,Between 2 and 3 inches
B1107SC-BK,Black,1  5/8 ,1  1/2 ,1,20,190,N/A,https://i.postimg.cc/QdSkyNkG/B1107-SC-BK.jpg,Between 1 and 2 inches
B1107SC-BR109,Walnut,1  5/8 ,1  1/2 ,1,20,190,N/A,https://i.postimg.cc/QMtkGL0B/B1107-SC-BR109.jpg,Between 1 and 2 inches
B1107SC-C16,N/A,1  5/8 ,1  1/2 ,1,20,190,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
B1108SC-BK,Black,2  3/4 ,1  5/8 ,1,8,76,N/A,https://i.postimg.cc/6QmVBHmM/B1108-SC-BK.jpg,Between 2 and 3 inches
B1108SC-BR109,Walnut,2  3/4 ,1  5/8 ,1,8,76,N/A,https://i.postimg.cc/B6PTbTW4/B1108-SC-BR109.jpg,Between 2 and 3 inches
B1108SC-S295,Silver,2  3/4 ,1  5/8 ,1,8,76,N/A,https://i.postimg.cc/4yCz9YZt/B1108-SC-S295.jpg,Between 2 and 3 inches
B1364-BK,Black,1  7/8 ,1  1/4 ,  3/4 ,16,152,N/A,https://i.postimg.cc/bYb0j9HR/B1364-BK.jpg,Between 1 and 2 inches
B1364-BR299S,Espresso,1  7/8 ,1  1/4 ,  3/4 ,16,152,N/A,https://i.postimg.cc/qMTsB61H/B1364-BR229.jpg,Between 1 and 2 inches
B1364-GN415,Green,1  7/8 ,1  1/4 ,  3/4 ,16,152,N/A,https://i.postimg.cc/QdNc1GL6/B1364-GN41.jpg,Between 1 and 2 inches
B1365-BKS,Black/Silver,1  9/32,  7/8 ,  9/16,36,342,N/A,https://i.postimg.cc/nrvqYncW/B1365-BKS.jpg,Between 1 and 2 inches
B1365-BR299S,Espresso,1  9/32,  7/8 ,  9/16,36,342,N/A,https://i.postimg.cc/28741jtb/B1365-BR229-S.jpg,Between 1 and 2 inches
F007-G,Gold,N/A,N/A,N/A,210,807.5,N/A,https://i.postimg.cc/VNdMZqkn/F007-G.jpg,Less than 1 inch
G1000-155,Antique Gold,4  5/16,1  1/4 , 13/16,8,76,N/A,https://i.postimg.cc/Z5fpL74J/G1000-155.jpg,Greater than 3 inches
L005S-1118,Walnut,3 11/16,1  9/16,  9/16,6,57,N/A,https://i.postimg.cc/KYwT611V/L005s-1118.jpg,Greater than 3 inches
L005S-BRN,Walnut,3 11/16,1  9/16,  9/16,6,57,N/A,https://i.postimg.cc/FRSSNhcK/L005s-BRN.jpg,Greater than 3 inches
L029C-BK109,Black,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://i.postimg.cc/wMdmBncQ/L029-C-BK109.jpg,Greater than 3 inches
L029C-BR300,Burnt,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://i.postimg.cc/Y0fmL8dK/L029-C-BR300.jpg,Greater than 3 inches
L029C-BR309,N/A,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Greater than 3 inches
L029C-IV48,Ivory,3  3/8 ,1  3/8 ,  7/8 ,8,76,N/A,https://i.postimg.cc/RCctYV4s/L029-C-IV48.jpg,Greater than 3 inches
L042-330,Walnut,3  1/8 ,1  7/16, 11/16,12,114,N/A,https://i.postimg.cc/yYjZVQJ0/L042-330.jpg,Greater than 3 inches
L042-GBK50,Black,3  1/8 ,1  7/16, 11/16,12,114,N/A,https://i.postimg.cc/t4gV73Pw/L042-GBK50.jpg,Greater than 3 inches
