name,color,width,height,rabbet,pcs,ft,condition,img_url,category
M106-G,Gold,3,1 13/16,  3/4 ,6,57,closeout,https://i.postimg.cc/g0HM6b72/M106-G.jpg,Between 2 and 3 inches
M108-BKG,Black/Gold,2 1/8,15/16,  5/16,15,142.5,closeout,https://i.postimg.cc/N0cJMjpn/M108-BKG.jpg,Between 2 and 3 inches
M108-BKS,Black/Silver,2 1/8,15/16,  5/16,15,142.5,closeout,https://i.postimg.cc/C1McG6yH/M108-BKS.jpg,Between 2 and 3 inches
M1105-BR228,Chestnut,2 1/2,1 1/8,  5/16,15,142.5,closeout,https://i.postimg.cc/8CN4GnCQ/M1105-BR228.jpg,Between 2 and 3 inches
M1105-CR85,Espresso,2 1/2,1 1/8,  5/16,15,142.5,closeout,https://i.postimg.cc/bvgTwHGG/M1105-CR85.jpg,Between 2 and 3 inches
M1204-BR294,Beige,2  1/2 ,1  1/8 ,  3/8 ,16,152,closeout,https://i.postimg.cc/C1K4BBDc/M1204-BR294.jpg,Between 2 and 3 inches
M1706-BR196,Bronze,3,1  5/16,  3/8 ,12,114,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
M1706-G281,Gold,3,1  5/16,  3/8 ,12,114,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
M1706-S280,Silver,3,1  5/16,  3/8 ,12,114,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 2 and 3 inches
M822-S177,Silver,2 3/8,1  5/16,  3/4 ,12,114,closeout,https://i.postimg.cc/0QtccdPg/M822-S177.jpg,Between 2 and 3 inches
M838-BK54,Black,2 13/16,1  1/4 ,  1/2 ,12,114,closeout,https://i.postimg.cc/4yqwTfYB/M838-BK54.jpg,Between 2 and 3 inches
M838-CR54,Espresso,2 13/16,1  1/4 ,  1/2 ,12,114,closeout,https://i.postimg.cc/QNyf7bf1/M838-CR54.jpg,Between 2 and 3 inches
M845-BR16,Charcoal,3,1  3/16,  3/4 ,12,114,closeout,https://i.postimg.cc/NjhbJ0q0/M845-BR16.jpg,Between 2 and 3 inches
M845-CR66,Espresso,3,1  3/16,  3/4 ,12,114,closeout,https://i.postimg.cc/WbqXwkyK/M845-CR66.jpg,Between 2 and 3 inches
M913-CR82,Espresso,2  1/16,1  1/16,  9/16,14,142.5,closeout,https://i.postimg.cc/C5zJtBxR/M913-CR82.jpg,Between 2 and 3 inches
N073-BR,Walnut,1  5/8 ,  3/16,N/A,104,988,closeout,https://i.postimg.cc/vTgLhJ09/N073-BR.jpg,Between 1 and 2 inches
S020-BR170,Walnut,1 1/2,  7/8 ,  3/8 ,24,228,closeout,https://i.postimg.cc/d1Sj8sjw/S020-BR170.jpg,Between 1 and 2 inches
S020-CR63,Espresso,1 1/2,  7/8 ,  3/8 ,24,228,closeout,https://i.postimg.cc/d3bRx5ff/S020-CR63.jpg,Between 1 and 2 inches
S037-3035,Walnut,2  1/8 ,1,  1/2 ,15,142.5,closeout,https://i.postimg.cc/BZXdRty5/S037-3035.jpg,Between 2 and 3 inches
S037-79831-1,Walnut,2  1/8 ,1,  1/2 ,15,142.5,closeout,https://i.postimg.cc/y6twKs4M/S037-79831-1.jpg,Between 2 and 3 inches
S072-1089,Gold,1 15/16, 13/16,  5/16,21,199.5,closeout,https://i.postimg.cc/9F9sFKcr/S072-1089.jpg,Between 1 and 2 inches
S072-3043,Espresso,1 15/16, 13/16,  5/16,21,199.5,closeout,https://i.postimg.cc/FHQ8fpKG/S072-3043.jpg,Between 1 and 2 inches
S080-337,Walnut,1 13/16, 13/16,  5/16,32,304,closeout,https://i.postimg.cc/hGDYsGTd/S080-337.jpg,Between 1 and 2 inches
S087-3087,Espresso,1  3/4 ,  7/8 ,  3/8 ,28,266,closeout,https://i.postimg.cc/Hk4KbMcm/S087-3087.jpg,Between 1 and 2 inches
S088-165,Gold,1 13/16,1  1/8 ,  1/2 ,32,304,closeout,https://i.postimg.cc/HxjhGPSW/S088-165.jpg,Between 1 and 2 inches
S088-3053,Espresso,1 13/16,1  1/8 ,  1/2 ,32,304,closeout,https://i.postimg.cc/PfgFcy1h/S088-3053.jpg,Between 1 and 2 inches
S090-1074,Gold,1  1/4 , 15/16,  3/8 ,30,285,closeout,https://i.postimg.cc/BZLVMkLM/S090-1074.jpg,Between 1 and 2 inches
S090-2074,Silver,1  1/4 , 15/16,  3/8 ,30,285,closeout,https://i.postimg.cc/W45HHPwf/S090-2074.jpg,Between 1 and 2 inches
S090-3058,Espresso/Gold,1  1/4 , 15/16,  3/8 ,30,285,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
S090-6058,White/Gold,1  1/4 , 15/16,  3/8 ,30,285,closeout,https://i.postimg.cc/ZnyKB61B/img-soon.jpg,Between 1 and 2 inches
S1106SC-BR263,Bronze,  3/4 ,  5/8 ,  7/16,81,769.5,closeout,https://i.postimg.cc/13P7RzWj/S1106-SC-BR263.jpg,Less than 1 inch
S908-BK84,Black,1  5/8 ,1  3/16, 11/16,25,237.5,closeout,https://i.postimg.cc/cCnkCtyV/S908-BK84.jpg,Between 1 and 2 inches
S908-BKS,Black/Silver,1  5/8 ,1  3/16, 11/16,25,237.5,closeout,https://i.postimg.cc/gk3BPhKh/S908-BKS.jpg,Between 1 and 2 inches
S908-BR196,Espresso/Gold,1  5/8 ,1  3/16, 11/16,25,237.5,closeout,https://i.postimg.cc/k4Zh7FZQ/S908-BR196.jpg,Between 1 and 2 inches
