name,color,width,height,rabbet,pcs,ft,condition,img_url
M919-G221,Gold,2  1/2 ,1,  5/16,18,171,N/A,https://i.postimg.cc/cCQ5gyqx/M919-G221.jpg
M919-S242,Silver,2  1/2 ,1,  5/16,18,171,N/A,https://i.postimg.cc/Kz3Wb3Jg/M919-S242.jpg
M919-W31,White,2  1/2 ,1,  5/16,18,171,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S010-604,White,1  9/16, 13/16,  9/16,35,332.5,N/A,https://i.postimg.cc/QdM0sWMx/S010-604.jpg
S037-BR110,Champagne,2  1/8 ,1,  1/2 ,15,142.5,N/A,https://i.postimg.cc/x8R3V0Dz/S037-BR110.jpg
S050-517,Walnut,1  1/2 , 13/16,  3/8 ,35,332.5,N/A,https://i.postimg.cc/h4brd0zt/S050-517.jpg
S072-2089,Silver,1 15/16, 13/16,  5/16,21,199.5,N/A,https://i.postimg.cc/d1G9n25n/S072-2089.jpg
S087-4017,Charcoal,1  3/4 ,  7/8 ,  3/8 ,28,266,N/A,https://i.postimg.cc/mkRynPq4/S087-4017.jpg
S088-BK,Black,1 13/16,1  1/8 ,  1/2 ,32,304,N/A,https://i.postimg.cc/pXWBYnzY/S088-BK.jpg
S090-5058,Black,1  1/4 , 15/16,  3/8 ,30,285,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S1104C-BK109,,N/A,N/A,N/A,35,332.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S1104C-BR300,,N/A,N/A,N/A,35,332.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S1104E2-BR330,,N/A,N/A,N/A,35,332.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S1104E2-BR333,,N/A,N/A,N/A,35,332.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S1104SC-BK,Black,1  1/4 ,  3/4 ,  7/16,35,332.5,N/A,https://i.postimg.cc/7ZbMj8B5/S1104-SC-BK.jpg
S1104SC-BR109,Walnut,1  1/4 ,  3/4 ,  7/16,35,332.5,N/A,https://i.postimg.cc/N0H8f8vY/S1104-SC-BR109.jpg
S1105C-BR268,,N/A,N/A,N/A,35,332.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S1105C-S332,,N/A,N/A,N/A,35,332.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
S1105SC-BK,Black,1,  5/8 ,  3/8 ,42,399,N/A,https://i.postimg.cc/tCBNrCz0/S1105-SC-BK.jpg
S1105SC-BR109,Walnut,1,  5/8 ,  3/8 ,42,399,N/A,https://i.postimg.cc/sg89r68w/S1105-SC-BR109.jpg
S1105SC-BR263,Bronze,1,  5/8 ,  3/8 ,42,399,N/A,https://i.postimg.cc/pTMf99Pj/S1105-SC-BR263.jpg
S1105SC-S295,Silver,1,  5/8 ,  3/8 ,42,399,N/A,https://i.postimg.cc/QtgpcXMy/S1105-SC-S295.jpg
S1106SC-BK,Black,  3/4 ,  5/8 ,  7/16,81,769.5,N/A,https://i.postimg.cc/d3qGBzkt/S1106-SC-BK.jpg
S1126-BR228,Maple,1  3/4 ,1,  7/16,20,190,N/A,https://i.postimg.cc/gjN8BN8y/S1126-BR228.jpg
S1126-BR229,Walnut,1  3/4 ,1,  7/16,20,190,N/A,https://i.postimg.cc/tR53TCw1/S1126-BR229.jpg
S1126-BR230,Black,1  3/4 ,1,  7/16,20,190,N/A,https://i.postimg.cc/TY3rWvvt/S1126-BR230.jpg
