name,color,width,height,rabbet,pcs,ft,condition,img_url
B1103-BK,Black,  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/3RkBpMGM/B1103-BK.jpg
B1103-BR109,,N/A,2  3/8 ,2,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B1103-BR263,Bronze,2,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/D0sPjq5B/B1103-BR263.jpg
B1103-S295,Silver,  1/2 ,2  3/8 ,2,12,114,N/A,https://i.postimg.cc/0QhC0tGz/B1103-S295.jpg
B1105SC-BR109,Walnut,3,2  1/8 ,1  5/8 ,6,57,N/A,https://i.postimg.cc/BZ1pn0sH/B1105-SC-BR109.jpg
B1106SC-BR109,Walnut,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/ZKtc9MKg/B1106-SC-BR109.jpg
B1106SC-BR263,Bronze,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/8PRbLm7C/B1106-SC-BR263.jpg
B1106SC-S295,Silver,2  1/2 ,1  1/2 ,1,9,85.5,N/A,https://i.postimg.cc/0y90nKS0/B1106-SC-S295.jpg
B1107SC-BK,Black,1  5/8 ,1  1/2 ,1,20,190,N/A,https://i.postimg.cc/QdSkyNkG/B1107-SC-BK.jpg
B1107SC-BR109,Walnut,1  5/8 ,1  1/2 ,1,20,190,N/A,https://i.postimg.cc/QMtkGL0B/B1107-SC-BR109.jpg
B1107SC-C16,,1  5/8 ,1  1/2 ,1,20,190,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
B1108SC-BK,Black,2  3/4 ,1  5/8 ,1,8,76,N/A,https://i.postimg.cc/6QmVBHmM/B1108-SC-BK.jpg
B1108SC-BR109,Walnut,2  3/4 ,1  5/8 ,1,8,76,N/A,https://i.postimg.cc/B6PTbTW4/B1108-SC-BR109.jpg
B1108SC-S295,Silver,2  3/4 ,1  5/8 ,1,8,76,N/A,https://i.postimg.cc/4yCz9YZt/B1108-SC-S295.jpg
B1364-BK,Black,1  7/8 ,1  1/4 ,  3/4 ,16,152,N/A,https://i.postimg.cc/bYb0j9HR/B1364-BK.jpg
B1364-BR299S,Espresso,1  7/8 ,1  1/4 ,  3/4 ,16,152,N/A,https://i.postimg.cc/qMTsB61H/B1364-BR229.jpg
B1364-GN415,Green,1  7/8 ,1  1/4 ,  3/4 ,16,152,N/A,https://i.postimg.cc/QdNc1GL6/B1364-GN41.jpg
B1365-BKS,Black/Silver,1  9/32,  7/8 ,  9/16,36,342,N/A,https://i.postimg.cc/nrvqYncW/B1365-BKS.jpg
B1365-BR299S,Espresso,1  9/32,  7/8 ,  9/16,36,342,N/A,https://i.postimg.cc/28741jtb/B1365-BR229-S.jpg
F007-G,Gold,N/A,N/A,N/A,210,807.5,N/A,https://i.postimg.cc/VNdMZqkn/F007-G.jpg
G1000-155,Antique Gold,4  5/16,1  1/4 , 13/16,8,76,N/A,https://i.postimg.cc/Z5fpL74J/G1000-155.jpg
L0055-1118,,N/A,N/A,N/A,6,57,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
L005S-1118,,N/A,N/A,N/A,6,57,N/A,https://i.postimg.cc/KYwT611V/L005s-1118.jpg
